dystans_cm,powtorzenie,nr_probki,h_tors
300.0,1,14,76.5
300.0,1,15,77.5
300.0,1,16,79.0
300.0,1,17,78.0
300.0,1,18,76.0
300.0,1,19,75.0
300.0,1,20,75.5
300.0,1,21,76.5
300.0,1,22,77.5
300.0,1,23,76.5
300.0,1,24,76.5
300.0,1,25,75.5
300.0,1,26,77.0
300.0,1,27,77.5
300.0,1,28,76.5
300.0,1,29,77.0
300.0,1,30,76.5
300.0,2,1,74.0
300.0,2,2,74.5
300.0,2,3,74.0
300.0,2,4,75.0
300.0,2,5,73.5
300.0,2,6,73.0
300.0,2,7,73.5
300.0,2,8,74.5
300.0,2,9,73.0
300.0,2,10,74.5
300.0,2,11,74.5
300.0,2,12,75.0
300.0,2,13,74.5
300.0,2,14,74.5
300.0,2,15,74.5
300.0,2,16,73.5
300.0,2,17,74.0
300.0,2,18,73.5
300.0,2,19,74.0
300.0,2,20,75.0
300.0,2,21,76.5
300.0,2,22,77.0
300.0,2,23,76.0
300.0,2,24,76.5
300.0,2,25,75.0
300.0,2,26,76.5
300.0,2,27,74.5
300.0,2,28,75.0
300.0,2,29,76.5
300.0,2,30,76.5
300.0,3,1,76.0
300.0,3,2,76.0
300.0,3,3,75.0
300.0,3,4,75.5
300.0,3,5,75.0
300.0,3,6,75.5
300.0,3,7,74.0
300.0,3,8,74.5
300.0,3,9,74.5
300.0,3,10,74.5
300.0,3,11,73.5
300.0,3,12,75.0
300.0,3,13,75.0
300.0,3,14,74.5
300.0,3,15,74.0
300.0,3,16,76.0
300.0,3,17,74.0
300.0,3,18,75.0
300.0,3,19,74.0
300.0,3,20,73.5
300.0,3,21,73.5
300.0,3,22,74.5
300.0,3,23,75.5
300.0,3,24,75.5
300.0,3,25,74.5
300.0,3,26,73.5
300.0,3,27,74.0
300.0,3,28,74.0
300.0,3,29,72.5
300.0,3,30,74.5
400.0,1,1,59.0
400.0,1,2,60.0
400.0,1,3,59.5
400.0,1,4,60.0
400.0,1,5,59.5
400.0,1,6,59.0
400.0,1,7,58.0
400.0,1,8,58.0
400.0,1,9,58.0
400.0,1,10,57.5
400.0,1,11,57.0
400.0,1,12,57.0
400.0,1,13,57.5
400.0,1,14,57.0
400.0,1,15,57.0
400.0,1,16,56.0
400.0,1,17,57.5
400.0,1,18,58.0
400.0,1,19,56.5
400.0,1,20,56.0
400.0,1,21,57.0
400.0,1,22,56.5
400.0,1,23,57.0
400.0,1,24,58.0
400.0,1,25,57.0
400.0,1,26,56.0
400.0,1,27,57.0
400.0,1,28,56.5
400.0,1,29,56.0
400.0,1,30,56.5
400.0,2,1,58.5
400.0,2,2,58.5
400.0,2,3,60.0
400.0,2,4,61.0
400.0,2,5,60.0
400.0,2,6,61.0
400.0,2,7,61.0
400.0,2,8,61.5
400.0,2,9,61.0
400.0,2,10,58.0
400.0,2,11,56.5
400.0,2,12,56.5
400.0,2,13,56.5
400.0,2,14,56.5
400.0,2,15,57.0
400.0,2,16,58.0
400.0,2,17,57.5
400.0,2,18,58.0
400.0,2,19,57.0
400.0,2,20,60.5
400.0,2,21,60.0
400.0,2,22,59.0
400.0,2,23,59.0
400.0,2,24,58.5
400.0,2,25,59.5
400.0,2,26,59.5
400.0,2,27,60.5
400.0,2,28,60.5
400.0,2,29,61.0
400.0,2,30,60.0
400.0,3,1,58.0
400.0,3,2,58.0
400.0,3,3,57.5
400.0,3,4,58.5
400.0,3,5,58.5
400.0,3,6,59.0
400.0,3,7,59.5
400.0,3,8,59.5
400.0,3,9,58.0
400.0,3,10,56.5
400.0,3,11,57.5
400.0,3,12,57.5
400.0,3,13,56.5
400.0,3,14,57.5
400.0,3,15,57.0
400.0,3,16,58.0
400.0,3,17,56.0
400.0,3,18,58.0
400.0,3,19,58.0
400.0,3,20,58.0
400.0,3,21,59.0
400.0,3,22,58.5
400.0,3,23,59.5
400.0,3,24,58.0
400.0,3,25,58.5
400.0,3,26,57.0
400.0,3,27,57.0
400.0,3,28,58.5
400.0,3,29,58.5
400.0,3,30,59.0
500.0,1,1,46.0
500.0,1,2,49.5
500.0,1,3,49.5
500.0,1,4,48.5
500.0,1,5,50.0
500.0,1,6,49.0
500.0,1,7,48.5
500.0,1,8,49.5
500.0,1,9,49.5
500.0,1,10,50.0
500.0,1,11,49.0
500.0,1,12,49.5
500.0,1,13,49.5
500.0,1,14,49.0
500.0,1,15,46.5
500.0,1,16,47.5
500.0,1,17,47.0
500.0,1,18,48.5
500.0,1,19,47.5
500.0,1,20,47.0
500.0,1,21,49.0
500.0,1,22,48.0
500.0,1,23,49.5
